Category,Messi,Ronaldo
GOALS,102,122
ASSISSTS,54,33
APPEARANCES,174,198
HAT-TRICKS,9,10
PENALTIES,24,18
FREE KICK GOALS,10,11
OUTSIDE THE BOX,13,11
INSIDE THE BOX,55,82
LEFT FOOT,90,28
RIGHT FOOT,10,66
HEADERS,2,28
