Category,Messi,Ronaldo
GOALS,805,818
ASSISSTS,356,230
APPEARANCES,1022,1116
HAT-TRICKS,57,60
PENALTIES,108,147
FREE KICK GOALS,62,59
OUTSIDE THE BOX,88,60
INSIDE THE BOX,547,552
LEFT FOOT,647,152
RIGHT FOOT,102,524
HEADERS,26,140
SHOT ON TARGET,1375,1418
SUCCESSFUL DRIBBLES,3065,1646
MAN OF THE MATCH,313,168
